,SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD
2676,2677,2015-06-02,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000.0
2677,2678,2015-06-02,Karma Healthcare,Tech-enabled Rural Healthcare Services,,Udaipur,Ennovent Impact Investment Holding,Private Equity,
2678,2679,2015-06-03,Entropy Innovations,Engineering Innovations,,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,
2679,2680,2015-06-03,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,3000000.0
2680,2681,2015-06-03,MyTaxiIndia,Online Car Rental Affiliates,,NCR,Green House Ventures,Seed Funding,100000.0
2681,2682,2015-06-03,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,15000000.0
2682,2683,2015-06-03,Little Black Book Delhi,Online City & Lifestyle Guide,,NCR,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,150000.0
2683,2684,2015-06-03,MyPoolin,P2P Payments platform,,NCR,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,\\xc2\\xa0 Arjun Malhotra, Gautam Gandhi",Seed Funding,
2684,2685,2015-06-03,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,250000.0
2685,2686,2015-06-03,KAARYAH,Women Lifestyle Marketplace,,NCR,Ratan Tata,Seed Funding,
2686,2687,2015-06-04,Ecom Express,Logistics Solution Provider,,NCR,Warburg Pincus,Private Equity,137000000.0
2687,2688,2015-06-04,Vidooly,Video Intelligence Platform,,NCR,Bessemer Venture Partners,Private Equity,1000000.0
2688,2689,2015-06-04,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,20000000.0
2689,2690,2015-06-04,Flipkart,eCommerce platform,,Bengaluru,Morgan Stanley,Private Equity,50000000.0
2690,2691,2015-06-05,kWatt Solutions,Renewable energy solutions,,Mumbai,,Seed Funding,500000.0
2691,2692,2015-06-05,Medwell Ventures,Healthcare\\nService provider,,Bengaluru,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,10000000.0
2692,2693,2015-06-05,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,5000000.0
2693,2694,2015-06-08,PosterGully,Artist / Designer Marketplace,,NCR,"Natarajan Iyer,Rajesh Sawhney,\\xc2\\xa0 & other Angel investors.",Seed Funding,
2694,2695,2015-06-08,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,40000000.0
2695,2696,2015-06-09,Clovia,Private Label lingerie Ecommerce,,NCR,IvyCap Ventures,Private Equity,5000000.0
2696,2697,2015-06-09,Swiggy,Online Food Ordering,,Bengaluru,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500000.0
2697,2698,2015-06-09,PayMango,Mobile Commerce Platform,,NCR,Group of Angel Investors,Seed Funding,234000.0
2698,2699,2015-06-09,Printland,Online Printing Services,,NCR,SIDBI Venture Capital Ltd,Private Equity,
2699,2700,2015-06-09,Teritree,Digital Marketing Services,,Bengaluru,KCL,Seed Funding,140000.0
2700,2701,2015-06-10,Guiddoo,Travel Guide Mobile App,,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,
2701,2702,2015-06-10,Voonik,Fashion Ecommerce store,,Bengaluru,"Sequoia Capital, Seedfund",Private Equity,5000000.0
2702,2703,2015-06-11,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,350000.0
2703,2704,2015-06-11,Faircent.com,Peer to Peer Lending platform,,NCR,M&S Partners Pte. Ltd,Seed Funding,250000.0
2704,2705,2015-06-12,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,16000000.0
2705,2706,2015-06-15,Homelane,Home Furnishing Solutions,,Bengaluru,Sequoia Capital,Private Equity,50000000.0
2706,2707,2015-06-15,iSTAR,Skill Training & Placement Platform,,Bengaluru,Unitus Seed Fund,Private Equity,
2707,2708,2015-06-15,Shippr,Intra-City Logistics service,,Bengaluru,i2india Pvt Ltd,Seed Funding,500000.0
2708,2709,2015-06-16,FoodAbhi,online tiffin service aggregator,,Mumbai,Group of angel investors,Seed Funding,
2709,2710,2015-06-16,Karma Recycling,Electronic Goods recycling service,,NCR,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,
2710,2711,2015-06-16,CouponRaja,Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,500000.0
2711,2712,2015-06-17,Babychakra,Parents & Kids Online platform,,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,
2712,2713,2015-06-17,Jiffstore,Online Grocery platform,,Bengaluru,"Unitus Seed Fund, Times Internet",Seed Funding,
2713,2714,2015-06-17,MyDentist,Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,8200000.0
2714,2715,2015-06-18,Moovo,On-Demand Logistics Service,,NCR,YouWeCan Ventures,Seed Funding,
2715,2716,2015-06-18,Fracktal Works,3D Printer Manufacturer,,Bengaluru,Neoteric Infomatique Limited,Private Equity,3000000.0
2716,2717,2015-06-18,Hansa Customer Equity,IT / Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,5000000.0
2717,2718,2015-06-18,HealthifyMe,Health & Fitness App,,Bengaluru,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,
2718,2719,2015-06-18,CAKART.in,Online Education Marketplace,,Bengaluru,Sunil Maheshwari & group of investors,Seed Funding,
2719,2720,2015-06-19,Housejoy,Home services marketplace,,Bengaluru,Matrix Partners,Private Equity,4000000.0
2720,2721,2015-06-19,FundsIndia.com,Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,11000000.0
2721,2722,2015-06-20,Cupick,Social Network for Artists,,Bengaluru,Group of Angel Investors from US/India,Seed Funding,120000.0
2722,2723,2015-06-20,Tracxn,Startup funding platform,,Bengaluru,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,10000000.0
2723,2724,2015-06-21,Holachef,Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,3100000.0
2724,2725,2015-06-22,elong,Data Driven recruitment recommendation,,Bengaluru,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,5000000.0
2725,2726,2015-06-22,Ixigo,Travel Search Engine,,NCR,Micromax Informatics,Private Equity,
2726,2727,2015-06-22,SkillAngels,Brain Games Platform,,Chennai,Sprout Angels LLP,Seed Funding,
2727,2728,2015-06-22,Vidgyor,Video Advertisement Platform,,Bengaluru,AngelPrime,Seed Funding,500000.0
2728,2729,2015-06-22,Banihal,Algorithmic Match Making Platform,,New Delhi / California,Dr David Cheriton,Seed Funding,
2729,2730,2015-06-23,Goodservice,Mobile Chat based concierge service,,NCR,Sequoia Capital,Private Equity,1600000.0
2730,2731,2015-06-23,Treebo,Online Budget Hotel Booking Service,,Bengaluru,"Matrix Partners India, SAIF Partners",Private Equity,6000000.0
2731,2732,2015-06-23,EduKart,Online education marketplace,,NCR,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,1000000.0
2732,2733,2015-06-23,Healthians.com,Preventive healthcare services,,Hyderabad,YouWeCan Ventures,Seed Funding,
2733,2734,2015-06-24,LabInApp,Science Learning App,,Bengaluru,Unitus Seed Fund,Seed Funding,
2734,2735,2015-06-24,Syona Cosmetics,Beauty and Wellness platform,,Chennai,Chennai Angels,Seed Funding,
2735,2736,2015-06-24,Sigrid Education,Online Education Platform,,NCR,Oliphans Capital,Seed Funding,
2736,2737,2015-06-24,Indix,SaaS product intelligence platform,,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,15000000.0
2737,2738,2015-06-24,The Porter,Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,5500000.0
2738,2739,2015-06-24,Retention.ai,App Analytics platform,,Bengaluru,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,500000.0
2739,2740,2015-06-25,Fusion Microfinance,Micro Finance Platform,,NCR,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,8600000.0
2740,2741,2015-06-25,Zinka,Freight logistics platform,,Bengaluru,"Accel Partners, Flipkart",Private Equity,6000000.0
2741,2742,2015-06-26,CreditMantri,Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,2500000.0
2742,2743,2015-06-26,GetMyPeon,Hyperlocal Handyman Services,,Mumbai,Undisclosed Investors,Seed Funding,250000.0
2743,2744,2015-06-29,UrbanClap,Hyperlocal services marketplace,,NCR,"SAIF Partners,\\xc2\\xa0 Accel Partners",Private Equity,10000000.0
2744,2745,2015-06-29,StayGlad,Beauty services Mobile Marketplace,,Bengaluru,"Tracxn Labs, Sahil Barua",Seed Funding,
2745,2746,2015-06-29,AdWyze,Marketing / Advertising Automation platform,,Bengaluru,Mape Advisory,Seed Funding,1000000.0
2746,2747,2015-06-29,Zimmber,Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,400000.0
2747,2748,2015-06-30,Buttercups,Online Lingerie platform,,Bengaluru,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,
2748,2749,2015-06-30,RailYatri,Railways Information Mobile app,,Bengaluru,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,
2749,2750,2015-06-30,aagaar.com,Hyperlocal grocery delivery,,NCR,Group of Investors,Seed Funding,
2750,2751,2015-06-30,Flatchat,Flat rental Mobile App,,Bengaluru,Commonfloor,Private Equity,2500000.0
2751,2752,2015-06-30,MyCFO,Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,1500000.0
2752,2753,2015-05-01,Foodpanda,Online Food Delivery,,NCR,"Goldman Sachs, Rocket Internet",Private Equity,100000000.0
2753,2754,2015-05-01,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,100000.0
2754,2755,2015-05-04,Applicate,Workforce Management Software,,Bengaluru,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,550000.0
2755,2756,2015-05-04,World Art Community,Online Art Marketplace,,NCR,Viraj Tyagi & others,Seed Funding,200000.0
2756,2757,2015-05-04,SpoonJoy,Online Food Delivery,,Bengaluru,SAIF Partners,Seed Funding,1000000.0
2757,2758,2015-05-05,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,650000.0
2758,2759,2015-05-05,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,250000.0
2759,2760,2015-05-05,Square Yards,Real Estate Advisory,,NCR,Undisclosed Investors,Private Equity,6000000.0
2760,2761,2015-05-05,Fintellix,Banking Analytics Platform,,Bengaluru,"IDG Ventures, Sequoia Capital",Private Equity,15000000.0
2761,2762,2015-05-05,Customer360,Customer Engagement Platform,,Mumbai,Vishwas Patel,Seed Funding,
2762,2763,2015-05-06,Delhivery,Ecommerce Logistics,,NCR,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,85000000.0
2763,2764,2015-05-06,Swiggy,Online Food Delivery,,Bengaluru,Norwest Venture Partners,Private Equity,15000000.0
2764,2765,2015-05-07,Uniphore,Speech Recognition Solutions,,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,
2765,2766,2015-05-07,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,3500000.0
2766,2767,2015-05-07,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,10000000.0
2767,2768,2015-05-07,Vedantu,Online Education Platform,,Bengaluru,"Accel Partners, Tiger Global Management",Private Equity,5000000.0
2768,2769,2015-05-08,BuyHatke,Online Product Comparison,,Bengaluru,"S.Gopalakrishnan, Beenos",Seed Funding,1000000.0
2769,2770,2015-05-08,KleverKid,Online Education Platform,,NCR,Aarin Capital Partners,Seed Funding,
2770,2771,2015-05-08,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,2000000.0
2771,2772,2015-05-08,GrandOpinion,Online Medical Diagnostic,,NCR,Florida based Angel investor,Seed Funding,150000.0
2772,2773,2015-05-08,HealthifyMe,Health & Fitness App,,Bengaluru,Micromax Informatics,Private Equity,
2773,2774,2015-05-12,ZapStitch,Cloud Data Integration Platform,,Bengaluru,"Helion Venture Partners, Orios Venture Partners",Private Equity,2000000.0
2774,2775,2015-05-12,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,2000000.0
2775,2776,,Mobiefit,Mobile Fitness App,,Goa,Prototyze,Seed Funding,
2776,2777,,Plancess,Online Education Platform,,Mumbai,"Rajendra Gogri,\\xc2\\xa0 Chandrakant Gogri",Seed Funding,2000000.0
2777,2778,2015-05-12,WorkHorse,Service-On-Demand Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,
2778,2779,2015-05-13,Innovaccer,Intelligent Data Analytics,,NCR,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,
2779,2780,2015-05-13,MyCuteOffice,Online Office Rental,,Mumbai,Lead Angels,Seed Funding,
2780,2781,2015-05-14,IndianRoots.com,Lifestyle Ecommerce Portal,,NCR,KJS Group,Private Equity,5000000.0
2781,2782,2015-05-14,RedPolka,Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,250000.0
2782,2783,2015-05-15,Venturesity,Online Job skills Showcase,,Bengaluru,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,270000.0
2783,2784,2015-05-18,TheBetterIndia.com,Online News Media,,Bengaluru,Mohandas Pai,Seed Funding,
2784,2785,2015-05-18,Awaaz De,Enterprise Communication Platform,,Ahmedabad,Samir Shah,Seed Funding,
2785,2786,2015-05-19,Chaayos,Offline Tea Chain,,NCR,Tiger Global Management,Private Equity,1000000.0
2786,2787,2015-05-19,Akosha,Business Messaging App,,NCR,Sequoia Capital,Private Equity,16000000.0
2787,2788,2015-05-19,Cooey,Health Mobile App,,Bengaluru,Subhash Goyal,Seed Funding,470000.0
2788,2789,2015-05-19,MeetUniv,Online Ed-Tech Platform,,NCR,Peesh Venture Capital,Seed Funding,1000000.0
2789,2790,2015-05-19,Inspirock,Online Travel Planning,,,MakeMyTrip Innovation Fund,Private Equity,
2790,2791,2015-05-19,Crown-it,Hyperlocal Mobile Marketplace,,NCR,"Accel Partners, Helion Venture Partners",Private Equity,5500000.0
2791,2792,2015-05-19,Trucksfirst,Trucking Logistic Operations,,NCR,SAIF partners,Private Equity,10000000.0
2792,2793,2015-05-20,Lookup,B2C Messaging App,,Bengaluru,Biz Stone,Private Equity,3000000.0
2793,2794,2015-05-21,SunTerrace,Rooftop Solar Plants,,NCR,Sunergy Investors,Private Equity,
2794,2795,2015-05-22,xc2xa0Nudgespot,Customer Engagement Platform,,Bengaluru,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,625000.0
2795,2796,2015-05-22,CarDekho,Online Car Portal,,Jaipur,HDFC Bank,Private Equity,
2796,2797,2015-05-22,EveningFlavors,Online Table Reservation,,Bengaluru,Sandiep Shrivatsava,Seed Funding,500000.0
2797,2798,2015-05-25,Razorpay,Online Payment Gateway,,Bengaluru,Punit Soni,Seed Funding,
2798,2799,2015-05-25,ZenParent,Parents focused Web Content,,Bengaluru,i2india Ventures,Seed Funding,500000.0
2799,2800,2015-05-25,Newgen Payments,Payments Solution Provider,,NCR,Jan Manten,Seed Funding,
2800,2801,2015-05-26,UrbanPro,On-demand Service marketplace,,Bengaluru,Nirvana Venture Advisors,Private Equity,2000000.0
2801,2802,2015-05-26,Goodbox,On-Demand Business messaging,,Bengaluru,Manipal Group,Seed Funding,200000.0
2802,2803,2015-05-26,Renderlogy,Online Home D\\xc3\\xa9cor,,Hyderabad,Astarc Ventures,Private Equity,1000000.0
2803,2804,2015-05-27,Postman,API Workflow platform,,Bengaluru,Nexus Venture Partners,Seed Funding,1000000.0
2804,2805,2015-05-27,Casa2inns,Affordable Hotel Booking Online,,NCR,"Accel Partners, Kalaari Capital",Private Equity,5000000.0
2805,2806,2015-05-27,FleetRover,Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,180000.0
2806,2807,2015-05-28,TheKarrier,Last Mile Logistics,,Bengaluru,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,240000.0
2807,2808,2015-05-28,Zoomcar,Self-driven Car rental,,Bengaluru,Sequoia Capital,Private Equity,5000000.0
2808,2809,2015-05-28,Truweight,Weight Management Service,,Hyderabad,Kalaari Capital,Private Equity,
2809,2810,2015-05-30,Ather Energy,Electric Scooter Manufacturer,,Bengaluru,Tiger Global,Private Equity,12000000.0
2810,2811,2015-04-03,Swiggy,Online Food Delivery,,Bengaluru,"Accel Partners, SAIF Partners",Private Equity,2000000.0
2811,2812,2015-04-04,Bluegape,Web Content Publishing,,NCR,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,200000.0
2812,2813,2015-04-04,KeepTrax,Location Based App,,Dallas / Hyderabad,,Seed Funding,1000000.0
2813,2814,2015-04-06,InstaLively,Video Streaming,,NCR,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,120000.0
2814,2815,2015-04-07,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,165000.0
2815,2816,2015-04-07,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,150000000.0
